id,sex,cage,time.of.day,n.correct.training,n.incorrect.training,session.reward.colour,n.morning.colour.test,n.afternoon.colour.test,final.presentation,n.correct.training.last.2,n.incorrect.training.last.2,prop.correct.training.last.2,n.morning.colour.initial,n.afternoon.colour.initial,species,criterion,n.morning.colour.training,n.afternoon.colour.training,prop.morning.reward.colour,shift.in.prop.morning.colour,abs.shift.in.prop.morning.colour,colour.training.scheme
8,F,1B,2afternoon,4,19,yellow,9,3,reversed,1,7,0.125,1,0,hecale,failed,19,4,0.826086957,,,purple.morning.yellow.afternoon
11,M,1B,2afternoon,53,26,yellow,38,66,reversed,10,3,0.769230769,12,26,hecale,NA,26,53,0.329113924,,,purple.morning.yellow.afternoon
12,F,1B,2afternoon,35,64,yellow,18,4,reversed,5,11,0.3125,0,2,hecale,failed,64,35,0.646464646,,,purple.morning.yellow.afternoon
27,M,1B,2afternoon,58,39,yellow,30,58,reversed,23,7,0.766666667,35,7,hecale,passed,39,58,0.402061856,,,purple.morning.yellow.afternoon
28,F,1B,2afternoon,0,13,yellow,2,0,reversed,0,1,0,0,0,hecale,NA,13,0,1,,,purple.morning.yellow.afternoon
D1,M,4A,2afternoon,53,6,yellow,69,160,normal,14,4,0.777777778,5,3,dryas,failed,6,53,0.101694915,,,purple.morning.yellow.afternoon
D10,M,4A,2afternoon,51,56,yellow,92,17,normal,17,22,0.435897436,17,2,dryas,failed,56,51,0.523364486,,,purple.morning.yellow.afternoon
D11,M,4A,2afternoon,70,14,yellow,0,0,normal,35,12,0.744680851,8,13,dryas,NA,14,70,0.166666667,,,purple.morning.yellow.afternoon
D13,M,5A,2afternoon,2,47,purple,14,4,reversed,2,23,0.08,7,8,dryas,failed,47,2,0.959183673,,,yellow.morning.purple.afternoon
D14,F,5A,2afternoon,26,10,purple,17,54,reversed,15,0,1,9,11,dryas,passed,10,26,0.277777778,,,yellow.morning.purple.afternoon
